type,date,media,title,content,url
news,2017-08-24 11:14:00,조세일보,"신한금융그룹, 베트남 최대 스타트업 지원기관과 업무협약","신한금융그룹은 베트남 최대규모의 스타트업 지원기관인 SIHUB와 유망기술 보유 스타트업의 교류 및 상호 지원을 위한 MOU를 체결했다고 24일 밝혔다.이번 협약을 통해 신한금융은 국내 핀테크 기업의 베트남 진출을 적극 도울 예정이다.또 베트남 현지 유망 핀테크 기업의 성장을 위해 금융노하우 및 ICT 기술지원 등도 병행해 베트남 핀테크 생태계 발전에도 기여할 계획이다.신한금융그룹 관계자는 ""글로벌 시장에서 '기술과 금융이 함께 만들어가는 상생의 모델'을 더욱 확대해 나갈 계획""이라고 말했다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..박지환(pjh@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=333778&class=51&grp=
news,2017-08-17 11:10:00,조세일보,"[국세청 전국세무관서장 회의] 국세청, '빅데이터' 본격 가동…과세 그물망 더 촘촘해진다","차세대국세행정시스템(NTIS)으로 과거와 비교할 수 없을 정도로 고도화된 정보 시스템을 갖춘 국세청은 '빅데이터 분석 기법'을 활용해 한층 정교한 세금 사전안내 자료를 납세자들에게 제공할 예정이라고 밝혔다.  특히 대기업과 고소득자, 영세·중소납세자, 탈세 고위험군 등 납세자 유형별로 사전안내의 실효성이 큰 항목을 위주로 거래 및 지출패턴 등을 분석해 주의해야 할 사항들을 세금 신고 전 미리 안내해 성실한 납세를 유도한다는 방침이다.  국세청은 17일 세종시 나성동 국세청사에서 전국세무관서장회의를 개최하고 공정한 세정 구현을 위한 '국세행정 운영방안'을 발표했다.국세청은 이날 사전안내 강화 방침을 천명하면서 빅데이터 분석의 단계적 추진 방안을 구체적으로 제시했다.우선 국세청은 빅데이터 전담 T/F를 구성하고 세부추진 방안을 마련할 방침이다. 또 빅데이터의 체계적 분석·활용을 위한 빅데이터 분석시스템을 구축하고 전담조직인 빅데이터센터(가칭)도 설치할 계획이다.국세청은 카카오페이 등 핀테크 결제자료, 건강보험 청구정보, 국고보조금 집행내역 등 외부기관의 과세자료를 지속적으로 모으고, 기존 데이터와의 통합 분석을 강화해 다양한 안내자료를 제공할 방침이라고 밝혔다.아울러 국세청은 납세자가 신고안내정보를 쉽게 활용할 수 있도록 제공방식을 개선할 예정이다.국세청은 홈택스 '신고도움 서비스'를 통해 납세자의 모든 신고정보를 통합해 제공하고 365일 언제든지 조회가 가능하도록 개선할 방침이라고 전했다. 현재는 신고기간 중에만 조회가 가능하다.납세자가 쉽게 이해하도록 그래프 등 시각정보를 최대한 제공하고 세무대리인에게도 신고에 필요한 납세자 정보를 지원할 방침이다.아울러 국세청은 납세자 유형별 맞춤형 안내문을 개발하고 쉬운 내용과 표현 등으로 납세자가 세금을 신고하는 데 무리가 없도록 안내문을 적극 개선할 예정이라고 전했다.  세금 신고서를 미리 채워주는 미리채움·모두채움 서비스는 계속 확대된다. 특히 앞으로는 부가가치세 신고시 의제매입세액 공제액 매입내역, 소득세 신고시 교육비, 의료비, 보험료 자료 등도 이 서비스를 통해 확인할 수 있게 될 예정이다.최근 추세에 발맞춰 인터넷 PC 중심의 홈택스 신고·납부 서비스를 전면 모바일화 할 예정이다. 지금은 전체 700여개의 홈택스 서비스 중 70여개에 대해서만 모바일서비스가 제공되고 있다.또 국세청은 모바일 간편결제를 통해 세금을 납부하고, 증명열람 및 팩스전송 기능 등 간단한 민원도 모바일을 통해 해결할 수 있을 것이라고 밝혔다.아울러 납세협력비용을 측정해 납세자가 불편해 하는 분야를 발굴하고 국민이 체감할 수 있는 납세서비스를 집중적으로 개선할 예정이라고 덧붙였다.국세청은 성실 중소납세자에겐 컨설팅 위주의 간편조사가를 확대해 세무조사에 대한 부담을 줄이고, 특히 소규모 납세자를 대상으로 '양도소득세 간편조사제도'를 새롭게 도입할 예정이라고 밝혔다.성실납세협약제도, 세법해석 사전답변제 등 납세자의 예측가능성을 높이는 서비스는 지속적으로 보완할 예정이다.이 밖에 국세청은 모범납세자, 아름다운 납세자 제도 등은 내실 있게 운영하고 성실납세자에 대한 우대혜택을 확대할 방침이라고 전했다.공익광고, 청소년 세금교육, 블로그 등 통해 올바른 세금정보를 제공해 성실납세에 대한 공감대도 확산시킬 계획이다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..이현재(rozzhj@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=333199&class=7&grp=
news,2017-08-11 13:02:00,조세일보,"BNK 썸뱅크, 24시간 신청 가능한 ‘썸뱅크 아파트 담보대출’ 출시","BNK금융그룹 부산은행이 대출 신청부터 실행까지 전 과정이 모바일로 진행되는 '썸뱅크 아파트 담보대출'을 출시했다고 11일 밝혔다.썸뱅크 아파트 담보대출은 BNK금융의 모바일 은행 썸뱅크를 통해 24시간 대출 신청이 가능하다.이는 대출 신청 및 전자약정, 전자등기 등 대출 전 과정이 스마트폰에서 이뤄져 은행 영업점을 방문하지 않아도 된다.또 썸뱅크 '찾아가는 대출 상담 서비스'을 신청하면 대출 전담직원이 직접 방문해 상세한 상담도 받을 수 있다. 금리는 우대금리 0.2%와 거래실적 옵션금리 적용시 최저 연 2.99%(2017년 8월 11일 기준)까지 적용 가능하다. 대출 기간은 10년 이상 30년 이내로 상환방식은 원금 균등 또는 원리금 균등 분할상환 중 선택할 수 있다.향후 금리 상승시 이자부담 경감을 위해 대출 취급일로부터 최장 5년까지 금리 상승폭을 제한하는 옵션도 선택할 수 있다.BNK부산은행 빈대인 은행장 직무대행은 “썸뱅크 아파트 담보대출 출시로 언제든지 편리하게 주택담보대출을 이용할 수 있다. 최근 출범한 인터넷 전문은행에서도 아직 주택담보대출 은 판매하지 않고 있다”라며 “생활금융 플랫폼 '썸라이프', 간편 결제서비스 '썸패스' 등 다양한 핀테크 금융 서비스도 추가해 나갈 예정이다”라고 전했다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..임순택(kookje@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=332870&class=18&grp=
news,2017-08-07 06:02:00,조세일보,"금융감독원, 제5회 FSS금융아카데미 심화과정 개최","금융감독원은 23일부터 25일까지 대학생, 일반인 등 50여명을 대상으로 '제5회 FSS금융아카데미 심화과정'을 개최한다고 7일 밝혔다.이 과정은 최고 수준의 금융전문가로부터 은행 ․ 증권 ․ 보험 업무 및 금융상품 소개, 파생상품 및 구조화상품 개요, 핀테크 현황, 기업평가 실무 등 현장 중심의 금융이론과 실무사례를 집중적으로 배울 수 있어 진로 선택의 기로에 선 대학생들에게 인기가 많다.FSS금융아카데미는 대학생 등의 금융시장 이해력을 높이고 우수한 금융인재를 양성하고자 금융감독원이 개설해 온 금융강좌로 매월 1회 열리는 일반과정과 여름방학중 매년 1회 열리는 심화과정으로 운영된다.수강 희망자는 금융감독원 금융교육센터 홈페이지를 통해 14일까지 신청하면 된다.◆…표=금융감독원 제공.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..김연지(yjkim@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=332319&class=18&grp=
news,2017-08-01 14:08:00,조세일보,"KT, 5G 상용화 아이디어 지원 위한 '5G 서비스 공모전'","◆…사진제공:KTKT가 중소·벤처기업들의 5G 서비스 아이디어를 접수 받고 이를 지원하기 위해 '5G 서비스 공모전'을 실시한다고 1일 밝혔다. 빠른 속도와 끊김 없는 연결, 방대한 용량의 5G 네트워크 특성과 중소·벤처기업이 보유한 기술을 결합시켜 높은 가치를 제공하는 서비스를 발굴하기 위한 것으로 그룹사 및 협력사뿐 아니라 기술 역량을 갖춘 중소·벤처기업들과 협업을 위한 의도이다.지난 3월에는 중소·벤처기업들과 5G, 핀테크, 통합보안, 커넥티드카, 인공지능(AI), 빅데이터 등 11개 신사업 분야 협업을 위해 오픈형 기술 협의체 KT-에코 얼라이언스(KT-Eco Alliance)를 출범시킨 바 있다.현재 이에는 150여개 기업이 참여 중으로 5G 서비스 공모전은 이들 참여기업을 대상으로 하며 5G 포럼에서 분류한 몰입형, 지능형, 편재형, 자율형, 공공형 5개 분야의 주제별 서비스 시나리오를 제안하면 된다. 세부적으로는 증강현실(AR), 가상현실(VR), 홀로그램, 로봇, 드론, 재난재해 감시, 개인보안 등 다양한 영역에서 창의적 아이디어가 대상이다. 다음달 1일까지 KT협력사 포털(partner.kt.com)의 공지사항을 참고해 이메일(ecoalliance@kt.com)로 서비스 시나리오를 제출하면 된다. KT-에코 얼라이언스 멤버사가 아닐 경우에도 KT협력사 포털에서 가입 심사 및 승인 절차를 거치면 공모전에 참여할 수 있다. 1차 서류심사, 2차 PT심사를 거쳐 최우수상 1000만원을 비롯, 7개 기업에 3000만원의 상금을 시상하는 것과 함께 별도 개발비도 지원해 5G 관련 아이디어 사업화를 적극 지원할 계획이다. ▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..백성원(peacetech@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=331841&class=78&grp=
news,2017-07-26 13:00:00,조세일보,"기업은행, 산탄데르은행과 '수출입기업 매칭서비스' 도입 업무협약","◆…25일(현지시간) 스페인 산탄데르은행 본사에서 배관희 기업은행 외환사업부 부장(왼쪽)과 페르난도(Fernando Lardies) 산탄데르은행 부행장이 협약식을 마치고 기념 촬영을 하고 있다. 사진 기업은행 제공IBK기업은행은 25일(현지시간) 스페인 산탄데르은행과 중소 수출입기업의 해외 판로개척 지원을 위한 '비대면 수출입기업 매칭서비스' 도입 업무협약을 체결했다고 26일 밝혔다.산탄데르은행이 국내 은행과 독점계약을 맺은 것은 이번이 처음이다.기업은행은 산탄데르은행 및 제휴은행 고객과 자체 고객 간 매칭(Seller-Buyer)을 통해 중소기업의 수출입 거래를 지원하는 'IBK 트레이드클럽(TradeClub)' 서비스를 오는 10월 중 출시할 예정이다.이 서비스는 매칭 알고리즘을 통해 거래를 희망하는 상대방을 자동 매칭해주는 핀테크 기술을 적용했다. 또 전담관리자(community manager)를 두고 고객의 희망 사업 및 규모 등을 감안한 일대일 매칭도 지원한다.기업은행은 인터넷뱅킹에 전용사이트를 개설해 거래기업을 대상으로 산탄데르은행과 제휴중인 전 세계 13개 은행의 1만2000개 기업고객에 대한 정보를 제공할 예정이다.기업은행 관계자는 ""정보력이 부족한 중소 수출입기업 지원을 위해 이번 서비스를 무료로 제공할 예정""이라며 ""수출입기업의 해외 판로개척 지원을 통해 중소기업의 성장을 견인하는 '동반자금융' 실현을 위해 지속 노력하겠다""고 말했다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..박지환(pjh@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=331236&class=51&grp=
news,2017-07-24 12:00:00,조세일보,"금감원, 금융용어사전 2017년 개정판 인터넷 서비스","금융감독원은 새 금융용어를 반영한 '2017년 금융용어사전 개정판'을 금감원 홈페이지와 금융소비자정보포털 파인에 등재했다고 24일 밝혔다.이번 개정판에는 총 533개의 금융용어를 수록했으며, 국제기준이나 금융환경 및 제도 변화에 따라 생긴 최신 금융용어들을 반영했다.국제 금융감독기준인 경기대응 완충자본(CCyB), 시스템적 중요 금융회사(SIFI), 유동성 커버리지비율(LCR) 등의 용어, 국내 제도와 관련해 최근 많이 사용되는 총부채원리금상환비율(DSR), 소액해외송금업, 스튜어드십코드 등의 용어들이 대표적이다. 또한 핀테크 발달을 반영한 인터넷전문은행, P2P대출, 로보어드바이저, 크라우드펀딩과 같은 전문적 금융용어 들도 자세하게 설명되어 있다.사이트의 검색기능도 강화해 금감원 홈페이지 및 파인 검색창에 알고 싶은 용어명을 정확히 입력하지 않고 일부 단어만 입력해도 용어가 검색된다. ◆…그림=금감원 제공.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..김연지(yjkim@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=330961&class=18&grp=
news,2017-07-24 10:50:00,조세일보,"KB금융, 한 번 로그인으로 모든 계열사 금융서비스 이용","KB금융그룹은 그룹 내 계열사의 서비스를 연계한 복합 금융서비스를 시작했다고 24일 밝혔다. 이에 따라 KB금융그룹 고객은 계열사별 홈페이지나 모바일 앱을 옮겨 다니면서 매번 로그인 할 필요 없이 다른 계열사의 서비스를 간단하게 이용할 수 있게 되었다. KB금융은 KB국민은행 KB손해보험 KB생명보험에 이어 KB카드에 이르기 까지 연계 서비스를 개시했으며 8월부터는 KB증권 KB저축은행 KB캐피탈 등 타 계열사도 순차적으로 서비스를 출시할 예정이다.이 서비스를 이용하면 KB국민은행 고객의 경우 스타뱅킹 앱의 'With KB' 메뉴에서 KB국민카드 보유내역 및 결제예정금액을 조회가능하며, KB손해보험이나 KB생명보험의 보험상품을 보유하고 있으면 보험상품 가입내역 및 보험료 납입현황을 볼 수 있다. 또 KB손해보험의 고객은 홈페이지에서 KB국민은행의 계좌잔고 및 대출만기일 조회, KB증권의 계좌 총자산 및 관심종목을 조회할 수 있는 등 KB금융그룹의 다양한 금융서비스를 더욱 편리하게 이용할 수 있다.KB금융그룹은 고객이 다양한 금융서비스를 편리하게 이용할 수 있도록 내·외부 융복합 서비스와 핀테크 기술 및 아이디어의 확장적 연계가 가능한 오픈API 플랫폼을 구축하고 있으며, 조회 서비스를 시작으로 고객이 다양한 계열사 상품을 One-Stop으로 거래할 수 있도록 서비스 영역을 확장할 계획이다. KB금융그룹 관계자는  “오픈 API 기반으로 고객들이 필요로 하는 고객 지향적인 융복합 서비스를 신속하게 제공하고, 핀테크 업체와의 확장적 연계를 통해 외부 신기술을 접목하고 혁신적인 금융 서비스를 창출하기 위해 지속적으로 노력할 것”이라고 말했다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..박지환(pjh@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=330943&class=18&grp=
news,2017-07-20 12:00:00,조세일보,"BNK금융 썸뱅크,  생체인식 ‘BNK바이오패스’ 확대 실시","BNK금융그룹이 모바일 은행 '썸뱅크'를 통해 은행권 최초로 생체인식 공인인증 되는 서비스인 'BNK바이오패스'를 생체인증이 가능한 모든 스마트폰으로 확대 시행한다고 20일 밝혔다.BNK바이오패스는 공인인증서 비밀번호를 숫자나 문자가 아닌 생체인증(지문)으로 대체해 각종 금융거래를 더욱 빠르고 안전하게 사용할 수 있는 서비스다.썸뱅크는 지난 4월 BNK금융그룹이 삼성전자 삼성패스와 제휴해 갤럭시 S8을 통해 홍채 및 지문인식 바이오 공인인증 서비스를 출시한 프로그램이다.이번에는 은행권 최초로 FIDO기반(지문, 홍체, 안면인식 등 생체인식 기술을 활용한 본인 인증방식)의 모든 스마트폰(아이폰 iOS 8.0 이상 및 안드로이드 6.0 이상 단말기)으로 서비스를 확대했다.썸뱅크 고객들은 BNK바이오패스를 통해 지문 인증만으로 공인인증서가 자동으로 제출되어 모든 금융서비스를 이체한도 등 별도의 제약없이 편리하게 사용 가능하다.  또 공인인증서를 생체인증과 결합해 스마트폰 내 안전 장소에 저장시켜 안전성과 보안성도 획기적으로 높였다는 평을 받고 있다.BNK부산은행 장명수 디지털금융부장은 “오는 9월 중 부산은행 스마트뱅킹인 '굿뱅크'에서도 BNK바이오패스 제공할 계획으로 다양한 핀테크 서비스를 구축해 고객 편의성을 더욱 높여 나가겠다”라고 전했다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..임순택(kookje@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=330765&class=18&grp=
news,2017-07-19 13:01:00,조세일보,"BNK부산銀 썸뱅크, 24시간 해외송금 서비스 시행","BNK부산은행이 모바일 은행 썸뱅크를 통해 365일 24시간 이용 가능한 '썸뱅크 해외송금' 서비스를 시행한다고 19일 밝혔다.썸뱅크 해외송금은 별도 은행 방문없이 휴대폰 '썸뱅크' 앱을 통해 이용할 수 있다.썸뱅크 앱 사용법은 송금금액, 해외 수취계좌, 받는 사람의 정보 등을 입력해 신청하면 되며 송금 과정은 신청인의 휴대폰 문자메세지를 통해 전송된다.송금은 건당 미화(USD) 기준 3000불 이하로 가능하고 연간 송금한도에 제한은 없다.부산은행은 썸뱅크 해외송금 시 금액에 상관없이 송금수수료를 면제하고 환율도 상시 30% 우대 혜택을 제공한다고 밝혔다.이와 별도로 부산은행은 썸뱅크 해외송금 서비스 출시를 기념해 12월 말까지 환율을 70%까지 우대하는 이벤트도 진행한다.BNK부산은행 빈대인 미래채널본부장(은행장 직무대행)은 “핀테크 업체들과 협업을 통해 소액 해외송금 시장에서 썸뱅크의 경쟁력을 강화해 나갈 계획이다”라며 “고객 편의성 증대를 위한 혁신적이고 편리한 서비스를 지속 탑재해 나가겠다”라고 전했다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..임순택(kookje@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지",http://www.joseilbo.com/news/news_read.php?uid=330616&class=18&grp=
